"id","candidate_wallet_id","wallet_address","t0_timestamp","t1_timestamp","t0_block","t1_block","value_t0_usd","value_t1_usd","simple_return","net_cash_flow_usd","adjusted_return","funding_heavy","stable_heavy","price_missing","token_count","analyzed_at","notes"
"1","1","0x742d35Cc6634C0532925a3b844Bc9e7595f0bE32","2025-10-14 11:03:53.389356+00","2025-10-14 14:03:53.389378+00","23575521","23576418","0.00000000","0.00000000",NULL,"0.00000000",NULL,False,False,False,2,"2025-10-14 15:04:01.156477+00",NULL
"2","2","0xABCDEF1234567890ABCDEF1234567890ABCDEF12","2025-10-14 11:03:53.389356+00","2025-10-14 14:03:53.389378+00","23575521","23576418","12.85504034","12.87983797","0.0019","0.00000000","0.0019",False,False,False,4,"2025-10-14 15:04:01.893732+00",NULL
"3","3","0x5d3c5391b0ad34360d1dc869bd5c9f88251b26a4","2025-10-14 11:03:53.389356+00","2025-10-14 14:03:53.389378+00","23575521","23576418","1.14869767","1.15091353","0.0019","0.00000000","0.0019",False,False,False,2,"2025-10-14 15:04:03.829822+00",NULL
"4","1","0x742d35Cc6634C0532925a3b844Bc9e7595f0bE32","2025-10-14 11:10:48.58927+00","2025-10-14 14:10:48.589291+00","23575556","23576454","0.00000000","0.00000000",NULL,"0.00000000",NULL,False,False,False,2,"2025-10-14 15:10:51.486282+00",NULL
"5","2","0xABCDEF1234567890ABCDEF1234567890ABCDEF12","2025-10-14 11:10:48.58927+00","2025-10-14 14:10:48.589291+00","23575556","23576454","12.93720142","12.87173322","-0.0051","0.00000000","-0.0051",False,False,False,4,"2025-10-14 15:10:52.306981+00",NULL
"6","1","0x742d35Cc6634C0532925a3b844Bc9e7595f0bE32","2025-10-14 11:20:29.623925+00","2025-10-14 14:20:29.623957+00","23575604","23576500","0.00000000","0.00000000",NULL,"0.00000000",NULL,False,False,False,2,"2025-10-14 15:20:32.860076+00",NULL
"7","2","0xABCDEF1234567890ABCDEF1234567890ABCDEF12","2025-10-14 11:20:29.623925+00","2025-10-14 14:20:29.623957+00","23575604","23576500","12.93198243","13.03276497","0.0078","0.00000000","0.0078",False,False,False,4,"2025-10-14 15:20:33.954895+00",NULL
"8","1","0x742d35Cc6634C0532925a3b844Bc9e7595f0bE32","2025-10-14 14:41:00.599085+00","2025-10-14 17:41:00.599111+00","23576600","23577492","0.00000000","0.00000000",NULL,"0.00000000",NULL,False,False,False,2,"2025-10-14 18:41:11.459873+00",NULL
"9","2","0xABCDEF1234567890ABCDEF1234567890ABCDEF12","2025-10-14 14:41:00.599085+00","2025-10-14 17:41:00.599111+00","23576600","23577492","12.92823811","13.39085597","0.0358","0.00000000","0.0358",False,False,False,4,"2025-10-14 18:41:13.743502+00",NULL
"10","1","0x742d35Cc6634C0532925a3b844Bc9e7595f0bE32","2025-10-14 14:46:08.176718+00","2025-10-14 17:46:08.176744+00","23576625","23577517","0.00000000","0.00000000",NULL,"0.00000000",NULL,False,False,False,2,"2025-10-14 18:46:11.766159+00",NULL
"11","2","0xABCDEF1234567890ABCDEF1234567890ABCDEF12","2025-10-14 14:46:08.176718+00","2025-10-14 17:46:08.176744+00","23576625","23577517","13.04854049","13.04854049","0.0000","0.00000000","0.0000",False,False,False,4,"2025-10-14 18:46:12.572185+00",NULL
