"WalletAddress","TruePnLPercent","ValueT0Usd","ValueT1Usd"
"0x4ded55769FD2e2e2dAc9AfDecF2e6EfbDcd51D41","574639025","522066710","30000512560568"
"0x2B83aaCB0dD973866B563cFb0EF0AEF24B93200b","106829315","25093634567","268098672026769"
"0xb05ba67c11fc0b92a7bcb18e50cba87ce2d15109","333963","1022537143","35171447203"
"0x0E17c9352CC02A1C9d6aE517153C91c2df587D19","90441","1879261611014","18875538545008"
"0x7A7A0749a544913B9d2EE9a7Bfc31CDe90a0d19d","55977","2468508539231","16286554048251"
"0xe3D41d19564922C9952f692C5Dd0563030f5f2EF","12828","57886842046539","132142389355680"
"0x017F805352610901616d3dE9b9F01e94f6df6569","10518","10615915762807","21782056566389"
"0xd315a9C38eC871068FEC378E4Ce78AF528C76293","8155","96245730491251","174735968739799"
"0x3651a474027496aA25F8106eF3A8D6f1486A88A6","7340","27677734783644","47993973328057"
"0x05ff6964D21e5dAE3b1010D5AE0465b3c450F381","3480","6299630534986531","8492152986486601"
"0x52Aa899454998Be5b000Ad077a46Bbe360F4e497","1494","49395921325538579","56774229933776347"
"0x88dcdd4a0a58b7e2208805d547043c37dca2b6dc","1234","142610729054204","160214845902303"
"0xc186fA914353c44b2E33eBE05f21846F1048bEda","1002","9175836761280","10095039536714"
"0xA836912dcE3b96Cb9F3f1bF2406d6491eD601f66","836","6835763957624","7407447686088"
"0xA9D1e08C7793af67e9d92fe308d5697FB81d3E43","531","1118175154898565","1177563900595529"
"0x260B364fe0d3d37E6Fd3cda0FA50926A06C54cEa","446","8540315311481034","8921555137358867"
"0xcdF9F50519Eb0a9995730DDB6e7d3A8B1D8fFA07","375","17925239522115","18597527981988"
"0x06CFf7088619C7178F5e14f0B119458d08d2f5ef","240","4817415","4932982"
"0x4eE9775Db5c1e73EA170678C109Ef079b2Ad4811","240","109482","112109"
"0x3F7C10cBbb1EA1046a80B738b9Eaf3217410c7F6","216","2654128918199","2711403043252"
"0x1a6fF47275bbC1A61FA858f6A5E133f4f213125e","179","62991041460","64116015665"
"0xEe7aE85f2Fe2239E27D9c1E23fFFe168D63b4055","97","56508267151891690","57058574972440076"
"0x4d5F47FA6A74757f35C14fD3a6Ef8E3C9BC514E8","58","17422461","17523903"
"0xfA0253943c3FF0e43898cba5A7a0dA9D17C27995","42","6022955258237","6048086044370"
"0x3B4D794a66304F130a4Db8F2551B0070dfCf5ca7","35","120939547478926263","121361623228582980"
"0x185A1fF695d30a22C19F44C6B41e2D6D1C8c1f11","25","197119053843358","197608035387601"
"0xc3b19502F8c02be75F3f77fd673503520DEB51dD","15","1418461422448300","1420587382971037"
"0x6C96dE32CEa08842dcc4058c14d3aaAD7Fa41dee","5","698653934593028643","699026588694226961"
"0x55B4F0c19811797182498B92973E7d80E1731cce","1","100606014950801","100615253504909"
"0xd63070114470f685b75B74D60EEc7c1113d33a3D","0","1000000000","1000000000"
"0xB9A4406982D990648093C71eFF9F1f63A040152e","0","138023773240409","138027644009289"
"0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb","0","5694098324914","5694098324914"
"0x11b815efB8f581194ae79006d24E0d814B7697F6","0","686134868627861912","686112069283685657"
"0x21003267DF00dDB51d4f9E770009993Fed194AC6","0","28000152497272","28000149720500"
"0xfd78EE919681417d192449715b2594ab58f5D002","0","100000","100000"
"0xdB92e6EDDFBE56eA158B32dE3E4B8947216CC437","-1","3669149499984","3668850884406"
"0x9008D19f58AAbD9eD0D60971565AA8510560ab41","-3","3320747247","3319874435"
"0x1e1DfFf79d95725aaAFD6b47aF4fbc28D859ce28","-6","505421040060300","505129627229849"
"0x1e69598Af32Aa2A579EcD6C0F0B204e2bE5a45EF","-9","1770916647075","1769331169616"
"0x4f493B7dE8aAC7d55F71853688b1F7C8F0243C85","-23","450438200776700","449390674674500"
"0xBA12222222228d8Ba445958a75a0704d566BF2C8","-39","1704063243849","1697479607006"
"0x559432E18b281731c054cD703D4B49872BE4ed53","-74","28404572646942","28193449672099"
"0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C","-88","114128140155464","113128024740956"
"0x93228d328c9c74c2bfe9f97638bbb5ef322f2bd5","-107","2912066556462361","2881004673773466"
"0xb23360CCDd9Ed1b15D45E5d3824Bb409C8D7c460","-114","2042443936687437","2019196012683816"
"0xb497070466Dc15FA6420b4781bB0352257146495","-121","6238427316831","6162962196736"
"0xEe1bF4D7c53af2BeaFC7DC1DcEa222a8C6D87Ad9","-126","16930463059234063","16717274884032001"
"0x3B207E4aa3ee4CD2B0B67dB07eC4CB8c8A46BbeB","-133","461179827","455025137"
"0xe8f7c89C5eFa061e340f2d2F206EC78FD8f7e124","-136","4989223098808247","4921158291238328"
"0x7dbb4bdcfe614398d1a68ecc219f15280d0959e0","-152","208940904126574","205755360317526"
"0x1157A2076b9bB22a85CC2C162f20fAB3898F4101","-155","14636409675522484","14409942392743491"
"0xffe15FF598e719d29DFe5E1d60BE1A5521A779Ae","-155","631119720233368","621337656305657"
"0xd318FC61DdC61123C93cfc7Ff4d451FB91239ab4","-157","4825605823433","4749948941362"
"0x28c6c06298d514db089934071355e5743bf21d60","-172","13620640970035814","13386343750376130"
"0x000000000004444c5dc75cB358380D2e3dE08A90","-173","14648131882302027","14394011831644419"
"0xceb69f6342ece283b2f5c9088ff249b5d0ae66ea","-181","2401978077910198","2358601664692570"
"0xb028b84783a0381d51dcf0e8ef04b5e502958618","-182","923511116959111","906695205683014"
"0x9659eaD0CeA92CbC389a3AFcC4e94498342D0161","-182","23455936590","23028835127"
"0x56eddb7aa87536c09ccc2793473599fd21a8b17f","-182","11102784799355725","10900618013462876"
"0x8cc2ecd1d7c20f36c93331ae571bfc66fdecfa9a","-182","18040187314","17711699455"
"0x670a987ae35bf90182202507fb443dce2e754e31","-182","19581880453","19225320410"
"0x19e0c4c43C3F08baEBDC4FC4C4c7A58ab02BC18F","-182","43101492369","42316671419"
"0x36A7081F99e749440274A69Aa909537cfF75F1b9","-182","2627656","2579810"
"0xe02011e07e3075916309cD499c03f6f6E8ac1cB0","-182","13612338433","13364475854"
"0xA50dDa47DceCc659837D8341740Ef7b59695aC1D","-182","24151975","23712199"
"0x9B9c3ae1f950EF121eaeADaeEB0Bcf4695603Bff","-182","534749088315","525012017414"
"0x00000000009E50a7dDb7a7B0e2ee6604fd120E49","-182","242931097511","238521023715"
"0x00f6D7D2AA002070a0E6d736b1f253c03342Ab1C","-182","138210938754","135694301065"
"0x4Ffd1989d607d07815EB1971CfB5B09Cbea23697","-182","33648535","33035840"
"0x93B1Bb04C9FF34d4230b6b7C00D32bE8FCc942a5","-182","1770544362","1738305100"
"0x92E75576f81838DF5d019940E740117f57924E9B","-182","98919300","97118110"
"0xCD531Ae9EFCCE479654c4926dec5F6209531Ca7b","-182","17001624350060","16692047344033"
"0xA4F652905Af1e734ed01475b5365fEf39F1d91c6","-182","391809","384675"
"0x2228e5704B637131A3798A186CAF18366c146f74","-182","260832084140763","256082678200407"
"0x2da7ce88eC0B994Ed54F8ea63d033A8bf4FBB338","-182","116288254060289","114170799352035"
"0x549d835356d92983AbB76E4cae639f7857963425","-182","1961834549465065","1926112147085314"
"0xc80Afd311c9626528De66D86814770361Fe92416","-182","881079039776983","865035760288476"
"0x24892cfaab12d98b23ffa00bcaca4999c7187976","-182","178992122703","175732916071"
"0x24892cFAab12D98B23ffa00bcaca4999C7187976","-182","178992122703","175732916071"
"0x1a21d26a94fb28b1b0751dfbbd681f22272e5f5a","-182","5447859616","5348661325"
"0xf2c1c99cdabd708e4731c2f40986a72a407f3065","-182","5458706355","5359310560"
"0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4","-182","5394708847","5296478361"
"0x95e149a99cd1f5b312a282519bec7ac59bb9516b","-182","5464082438","5364588752"
"0x0d0707963952f2fba59dd06f2b425ace40b492fe","-182","5968804413125774","5860468576891186"
"0x0D0707963952f2fBA59dD06f2b425ace40b492Fe","-182","5968804413125774","5860468576891186"
"0x5c7BCd6E7De5423a257D81B442095A1a6ced35C5","-182","265419343975","260586410124"
"0x07aE8551Be970cB1cCa11Dd7a11F47Ae82e70E67","-182","1471492456154","1444744887876"
"0x818570b628809140c3d1fdde811ef3b91dfd4482","-182","13032537941","12795232728"
"0x10A260e6710BEac9Fa7515778E6aA7EA66666666","-182","33830192138","33214191036"
"0xf5Ca1c6eFeCB107ed833f65Fd8eC339A6DF2CB89","-182","19590821000","19234098160"
"0xB5F1B33e887dA761215D400724D7e311ee04261f","-182","5650067428","5547187202"
"0xa5C26701F5EdB75d65366A89566b5143740C455C","-182","1022135163673","1003523439451"
"0x9696f59E4d72E237BE84fFD425DCaD154Bf96976","-182","12043043501875562","11823755669490234"
"0x6d42aAb8B4EFd1AD0C5454a040B59Ae3c99440B5","-182","69812452581","68541260513"
"0x3CC936b795A188F0e246cBB2D74C5Bd190aeCF18","-182","5181948997689435","5087813422645762"
"0x5C2aB5dC71CED4d3A07F048dC9c068DfD4fC4D53","-182","11221280","11016955"
"0xE6a52260694Aa80FA0cA152ACDc868deA4566F2a","-182","3918584374529","3847232155850"
"0x3cc936b795a188f0e246cbb2d74c5bd190aecf18","-182","5181939750339747","5087831046341070"
"0x1C68C3DE2b02D9Ae478D37c7E6C92A53FF01fC66","-182","12422792109","12196589559"
"0xBa47cbFdD61029833841fcaA2ec2591dDfa87e51","-182","500917815412","491796766882"
"0x51C72848c68a965f66FA7a88855F9f7784502a7F","-182","58625782131917","57558293861432"
"0xB777c572107DCad6afD50a506510149a7acE891F","-182","7720604105","7580022155"
"0x025c75bD580690C2B4822833934F5365887E528a","-182","117902953","115761047"
"0xc210b483b886F417BE8034e615Ab99AE07E0bAE1","-183","4093155951","4018170305"
"0xB3e17C65326F9C390696C65B9003BEc0B1441826","-202","519845364482","509369464436"
"0xcfb7E94D71aB3C65479dacD9d8f2159184Ca17ED","-216","18252528209","17857762312"
"0x4eEB8F4778aEb845A48CE27a25Ad9734988561A8","-230","206638802797","201894393228"
"0x3Face0002C61054a67266AA0C8795e315e6D92f2","-293","299140911","290390680"
"0x1f2F10D1C40777AE1Da742455c65828FF36Df387","-448","75796785007","72402922126"
"0x8bee7340304a051b16cecee05fb8c999db3b65ed","-574","3142543666","2962053721"
"0xB2b99d9879Dd29b4b8590087AE991EAF3808984F","-823","536947558066","492751244163"
"0x45312ea0eFf7E09C83CBE249fa1d7598c4C8cd4e","-996","1110967","1000300"
"0xfBd4cdB413E45a52E2C8312f670e9cE67E794C37","-1139","11270109574968","9986320239868"
"0xa4c567c662349BeC3D0fB94C4e7f85bA95E208e4","-3889","1234980909185470","754749738291886"
"0xaA8ba7D4611437141192e7ceCed531Bc0A133efb","-4152","4352330948896615","2545277467326180"
"0x0d4a11d5EEaaC28EC3F61d100daF4d40471f1852","-9014","34046828","3358303"
"0x52C5233d3D12e9D5522759aCE8B551D926b797d1","-9166","74963302718980","6249225434924"
"0x6Ade2d4d0a7665aa805E29707E349c2b724AD3c7","-9717","25222755105930","712568275237"
"0xCbE6cD4808bed5A18ac09Ee61E0D63C2BafF2793","-9994","29681127552620","16696697765"
"0x7Fb45BcAD371B83DFAE4bFfFBf5f2C1539f17EDF","-9999","100005318255622","5221417248"
"0x2A4705D4941fd92bB25E20954A4710631c663dF0","-9999","10258731875528","618722229"
"0x1A3b234fB570F93eb2244796F0527f834CD30294","-10000","100000202110528","198430364"
"0xaAc81321d5789c4B7558F51226DCd662F7c1E27F","-10000","10000335768020","329654130"
"0x2F218d31B4f05CAc6CB23053F475d22CEBc6a231","-10000","40000774969716","760858547"
"0x3e43A8c5Ec9061945A2cE51504fFb3d266a57943","-10000","56006762790193","1239796460"
"0x611Bca3EFB4AA4407Dc36DC1BF2A34FF19A20E4e","-10000","611548194453556","11760835"
"0x2E064a5147E7931B5Af9993ceCDDE218C482306d","-10000","250007609985932","7471418193"
"0x39c6d3FF2F977088D7a1aB49d56bDF646E263fbC","-10000","56001511791759","1484264039"
"0x67549D0DA231e1Ee115CA1083FA64A85a093eD15","-10000","49990014986953","14714060"
"0x92208fac26CCF5f8C3834f242bFc1493e2B65741","-10000","3000004175724233","5114487297"
"0x8ad599c3A0ff1De082011EFDDc58f1908eb6e6D8",,"0","0"
"0x3177F690119F6677298118864E2bFf499FA1C359",,"0","0"
"0x32d4703e5834F1b474B17DFdB0aC32Cc22575145",,"0","0"
"0x88e6A0c2dDD26FEEb64F039a2c41296FcB3f5640",,"0","0"
"0x10358Db0e8532455d3374FB09cF3fbeC631B1914",,"0","0"
"0x10848df22554471Ba4Ed380a6a5a4717605f7005",,"0","0"
"0xc7bBeC68d12a0d1830360F8Ec58fA599bA1b0e9b",,"0","0"
"0x207e1074858A7e78f17002075739eD2745dbaEce",,"0","0"
"0x4e68Ccd3E89f51C3074ca5072bbAC773960dFa36",,"0","0"
"0x66a9893cC07D91D95644AEDD05D03f95e1dBA8Af",,"0","0"
"0x66a9893cc07d91d95644aedd05d03f95e1dba8af",,"0","0"
"0x000000002b0184B12e908bf97941f2f5385C9820",,"0","0"
"0xDcEF968d416a41Cdac0ED8702fAC8128A64241A2",,"0","0"
