Id,WalletAddress,SimpleReturn,NetCashFlowUsd,ValueT0_USD,ValueT1_USD,TokenCount,AnalyzedAt
72,0x4ded55769FD2e2e2dAc9AfDecF2e6EfbDcd51D41,57463.9025,0.00,5.22,300005.13,3,2025-10-17 19:41:48
12,0x2B83aaCB0dD973866B563cFb0EF0AEF24B93200b,10682.9315,0.00,250.94,2680986.72,9,2025-10-17 18:36:35
114,0xb05ba67c11fc0b92a7bcb18e50cba87ce2d15109,33.3963,0.00,10.23,351.71,11,2025-10-17 19:47:14
73,0x0E17c9352CC02A1C9d6aE517153C91c2df587D19,9.0441,0.00,18792.62,188755.39,11,2025-10-17 19:41:50
37,0x7A7A0749a544913B9d2EE9a7Bfc31CDe90a0d19d,5.5977,0.00,24685.09,162865.54,47,2025-10-17 18:51:00
116,0xe3D41d19564922C9952f692C5Dd0563030f5f2EF,1.2828,0.00,578868.42,1321423.89,11,2025-10-17 19:47:27
87,0xd315a9C38eC871068FEC378E4Ce78AF528C76293,0.8155,0.00,962457.30,1747359.69,11,2025-10-17 19:43:52
111,0x3651a474027496aA25F8106eF3A8D6f1486A88A6,0.7340,0.00,276777.35,479939.73,11,2025-10-17 19:46:45
29,0x05ff6964D21e5dAE3b1010D5AE0465b3c450F381,0.3480,0.00,62996305.35,84921529.86,12,2025-10-17 18:48:15
17,0x52Aa899454998Be5b000Ad077a46Bbe360F4e497,0.1494,0.00,493959213.26,567742299.34,101,2025-10-17 18:42:18
20,0x88dcdd4a0a58b7e2208805d547043c37dca2b6dc,0.1234,0.00,1426107.29,1602148.46,70,2025-10-17 18:45:19
109,0xc186fA914353c44b2E33eBE05f21846F1048bEda,0.1002,0.00,91758.37,100950.40,11,2025-10-17 19:46:35
91,0xA836912dcE3b96Cb9F3f1bF2406d6491eD601f66,0.0836,0.00,68357.64,74074.48,11,2025-10-17 19:44:29
13,0xA9D1e08C7793af67e9d92fe308d5697FB81d3E43,0.0531,0.00,11181751.55,11775639.01,101,2025-10-17 18:36:44
